age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,married,tertiary,no,7.669961995473577,yes,no,unknown,5,may,5.564520407322694,1,-1,0,unknown,no
44,technician,single,secondary,no,3.367295829986474,yes,no,unknown,5,may,5.017279836814924,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,7.317212408359839,yes,no,unknown,5,may,4.5217885770490405,1,-1,0,unknown,no
35,management,married,tertiary,no,5.442417710521793,yes,no,unknown,5,may,4.9344739331306915,1,-1,0,unknown,no
28,management,single,tertiary,no,6.102558594613569,yes,yes,unknown,5,may,5.37989735354046,1,-1,0,unknown,no
58,retired,married,primary,no,4.795790545596741,yes,no,unknown,5,may,3.912023005428146,1,-1,0,unknown,no
43,technician,single,secondary,no,6.385194398997726,yes,no,unknown,5,may,4.007333185232471,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,5.598421958998375,yes,no,unknown,5,may,5.402677381872279,1,-1,0,unknown,no
29,admin.,single,secondary,no,5.966146739123692,yes,no,unknown,5,may,4.919980925828125,1,-1,0,unknown,no
53,technician,married,secondary,no,1.791759469228055,yes,no,unknown,5,may,6.248042874508429,1,-1,0,unknown,no
58,technician,married,unknown,no,4.2626798770413155,yes,no,unknown,5,may,4.2626798770413155,1,-1,0,unknown,no
57,services,married,secondary,no,5.087596335232384,yes,no,unknown,5,may,5.159055299214529,1,-1,0,unknown,no
51,retired,married,primary,no,5.43372200355424,yes,no,unknown,5,may,5.8664680569332965,1,-1,0,unknown,no
45,admin.,single,unknown,no,2.5649493574615367,yes,no,unknown,5,may,4.584967478670572,1,-1,0,unknown,no
57,blue-collar,married,primary,no,3.9512437185814275,yes,no,unknown,5,may,3.6375861597263857,1,-1,0,unknown,no
60,retired,married,primary,no,4.0943445622221,yes,no,unknown,5,may,5.389071729816501,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,6.583409222158765,yes,yes,unknown,5,may,5.568344503761097,1,-1,0,unknown,no
56,management,married,tertiary,no,6.658011045870748,yes,no,unknown,5,may,5.099866427824199,1,-1,0,unknown,no
32,blue-collar,single,primary,no,3.1354942159291497,yes,yes,unknown,5,may,5.075173815233827,1,-1,0,unknown,no
25,services,married,secondary,no,3.912023005428146,yes,no,unknown,5,may,5.834810737062605,1,-1,0,unknown,no
39,management,single,tertiary,no,5.541263545158426,yes,no,unknown,5,may,5.69035945432406,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,4.727387818712341,yes,yes,unknown,5,may,4.844187086458591,1,-1,0,unknown,no
36,technician,single,secondary,no,5.579729825986222,yes,yes,unknown,5,may,5.8522024797744745,1,-1,0,unknown,no
57,technician,married,secondary,no,6.732210706467206,no,yes,unknown,5,may,5.41610040220442,1,-1,0,unknown,no
49,management,married,tertiary,no,5.934894195619588,yes,no,unknown,5,may,5.438079308923196,1,-1,0,unknown,no
60,admin.,married,secondary,no,3.6635616461296463,yes,yes,unknown,5,may,5.337538079701318,1,-1,0,unknown,no
51,management,married,tertiary,no,9.271905727634337,yes,no,unknown,5,may,5.817111159963204,1,-1,0,unknown,no
57,technician,divorced,secondary,no,4.143134726391533,yes,no,unknown,5,may,5.488937726156687,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,6.226536669287466,yes,no,unknown,5,may,6.3578422665081,1,-1,0,unknown,no
44,services,divorced,secondary,no,7.857867559331803,yes,no,unknown,5,may,5.075173815233827,1,-1,0,unknown,no
50,management,married,secondary,no,3.8918202981106265,yes,no,unknown,5,may,5.19295685089021,2,-1,0,unknown,no
60,blue-collar,married,unknown,no,4.6443908991413725,yes,no,unknown,5,may,3.091042453358316,1,-1,0,unknown,no
54,retired,married,secondary,no,6.270988431858299,yes,no,unknown,5,may,7.307872780763706,1,-1,0,unknown,no
58,retired,married,unknown,no,4.564348191467836,yes,no,unknown,5,may,6.423246963533519,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,7.1631723908466425,yes,no,unknown,5,may,5.583496308781699,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,5.493061443340548,no,yes,unknown,5,may,5.159055299214529,1,-1,0,unknown,no
38,management,single,tertiary,no,6.049733455231958,yes,no,unknown,5,may,4.6443908991413725,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,5.723585101952381,yes,no,unknown,5,may,2.5649493574615367,1,-1,0,unknown,no
